_id,awayTeam,homeTeam,competition,date,totalScores,home,away,firstQuarterAwayScore,firstQuarterHomeScore,secondQuarterAwayScore,secondQuarterHomeScore,thirdQuarterAwayScore,thirdQuarterHomeScore,fourthQuarterAwayScore,fourthQuarterHomeScore
492207679,Philadelphia 76ers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700804400,189,85,104,21,31,28,17,34,20,21,17
492616354,Atlanta Hawks (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700934000,227,115,112,32,24,25,32,28,22,27,37
492644161,Miami Heat (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700941200,204,92,112,26,25,31,21,28,16,27,30
492538147,Boston Celtics (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700917200,228,109,119,25,27,30,21,31,35,33,26
492437394,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700883600,224,114,110,28,28,21,31,24,27,37,28
492432054,Cleveland Cavaliers (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700881200,183,84,99,25,20,27,24,26,19,21,21
492393149,Miami Heat (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700864400,201,98,103,25,27,26,20,18,27,34,24
492381004,Atlanta Hawks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700859600,222,106,116,24,29,25,31,34,26,33,20
492374833,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700857200,235,120,115,23,26,33,25,21,31,38,38
492302794,Boston Celtics (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700838000,204,98,106,24,23,20,29,36,27,26,19
492272946,Miami Heat (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700828400,211,117,94,24,27,23,25,26,32,21,33
492188555,Boston Celtics (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700792400,209,96,113,42,25,22,14,21,24,28,33
492170399,Boston Celtics (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700782800,207,90,117,39,14,23,23,32,28,23,25
492528904,Philadelphia 76ers (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700914800,212,95,117,28,19,28,27,28,27,33,22
492666634,Philadelphia 76ers (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700948400,199,96,103,24,29,38,17,14,22,27,28
492336015,Cleveland Cavaliers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700847600,190,103,87,23,23,20,38,22,22,22,20
492280224,New York Knicks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700830800,187,91,96,21,24,26,17,21,28,28,22
492203435,New York Knicks (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700802000,193,106,87,23,32,23,27,22,18,19,29
492446720,New York Knicks (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700888400,210,101,109,32,24,21,30,28,23,28,24
